09/03/2025 06:45:58 Epoch 39/200 summary:  loss_train=0.85474,  acc_train=85.22%,  loss_val=0.69,  acc_val=78.43% (best: 82.54% @ epoch 37)
09/03/2025 06:46:54 Epoch 40/200 summary:  loss_train=0.84371,  acc_train=85.52%,  loss_val=0.61,  acc_val=81.32% (best: 82.54% @ epoch 37)
09/03/2025 06:47:50 Epoch 41/200 summary:  loss_train=0.82640,  acc_train=86.24%,  loss_val=0.59,  acc_val=81.47% (best: 82.54% @ epoch 37)
09/03/2025 06:48:46 Epoch 42/200 summary:  loss_train=0.82258,  acc_train=86.49%,  loss_val=0.63,  acc_val=80.92% (best: 82.54% @ epoch 37)
09/03/2025 06:49:41 Epoch 43/200 summary:  loss_train=0.80757,  acc_train=87.18%,  loss_val=0.55,  acc_val=83.05% (best: 83.05% @ epoch 43)
09/03/2025 06:50:37 Epoch 44/200 summary:  loss_train=0.79928,  acc_train=87.59%,  loss_val=0.50,  acc_val=84.55% (best: 84.55% @ epoch 44)
09/03/2025 06:51:32 Epoch 45/200 summary:  loss_train=0.79247,  acc_train=87.81%,  loss_val=0.58,  acc_val=83.04% (best: 84.55% @ epoch 44)
09/03/2025 06:52:28 Epoch 46/200 summary:  loss_train=0.77978,  acc_train=88.43%,  loss_val=0.57,  acc_val=82.63% (best: 84.55% @ epoch 44)
09/03/2025 06:53:24 Epoch 47/200 summary:  loss_train=0.77442,  acc_train=88.60%,  loss_val=0.53,  acc_val=83.88% (best: 84.55% @ epoch 44)
09/03/2025 06:54:19 Epoch 48/200 summary:  loss_train=0.76247,  acc_train=89.28%,  loss_val=0.54,  acc_val=84.36% (best: 84.55% @ epoch 44)
09/03/2025 06:55:15 Epoch 49/200 summary:  loss_train=0.75680,  acc_train=89.50%,  loss_val=0.52,  acc_val=84.55% (best: 84.55% @ epoch 44)
